date,posDCR,powDCR,dectres,value,powUSD,posUSD
2016-02-21,183.43,5810.73,0.0,965.82,0.0,0.0
2016-02-22,2015.87,4202.97,0.0,671.95,0.0,0.0
2016-02-23,2463.22,5189.28,0.0,821.07,0.0,0.0
2016-02-24,3080.89,6447.66,0.0,1026.96,0.0,0.0
2016-02-25,2539.96,5231.89,0.0,846.65,0.0,0.0
2016-02-26,2330.32,4764.02,0.0,776.77,0.0,0.0
2016-02-27,2365.89,4808.29,0.0,788.63,0.0,0.0
2016-02-28,2856.28,5828.25,0.0,952.09,0.0,0.0
2016-02-29,2509.92,5127.72,0.0,836.61,0.0,0.0
2016-03-01,2637.12,5391.48,0.0,879.04,0.0,0.0
2016-03-02,2331.34,4728.24,0.0,777.11,0.0,0.0
2016-03-03,2885.45,5912.42,0.0,961.81,0.0,0.0
2016-03-04,2351.73,4750.28,0.0,783.91,0.0,0.0
2016-03-05,2689.01,5512.28,0.0,896.33,0.0,0.0
2016-03-06,2572.26,5245.47,0.0,857.42,0.0,0.0
2016-03-07,2579.67,5247.07,0.0,859.89,0.0,0.0
2016-03-08,2601.91,5302.32,0.0,867.3,0.0,0.0
2016-03-09,2425.86,4904.84,0.0,808.62,0.0,0.0
2016-03-10,3018.89,6130.8,0.0,1006.29,0.0,0.0
2016-03-11,2305.4,4650.6,0.0,768.46,0.0,0.0
2016-03-12,2520.37,5138.68,0.0,840.12,0.0,0.0
2016-03-13,2420.3,4906.05,0.0,806.76,0.0,0.0
2016-03-14,2676.04,5426.14,0.0,892.01,0.0,0.0
2016-03-15,2907.69,5907.2,0.0,969.23,0.0,0.0
2016-03-16,2199.76,4461.12,0.0,733.25,0.0,0.0
2016-03-17,2753.88,5564.02,0.0,917.96,0.0,0.0
2016-03-18,2924.37,5896.4,0.0,974.79,0.0,0.0
2016-03-19,2453.65,5018.72,0.0,817.88,0.0,0.0
2016-03-20,2585.23,5208.77,0.0,861.74,0.0,0.0
2016-03-21,2410.52,4889.88,0.0,803.47,0.0,0.0
2016-03-22,2647.71,5352.9,0.0,882.57,0.0,0.0
2016-03-23,2757.8,5600.21,0.0,919.26,0.0,0.0
2016-03-24,2306.42,4653.67,0.0,768.81,0.0,0.0
2016-03-25,2706.43,5513.47,0.0,902.14,0.0,0.0
2016-03-26,2710.1,5505.51,0.0,903.36,0.0,0.0
2016-03-27,2765.14,5674.42,0.0,921.71,0.0,0.0
2016-03-28,2445.88,4999.49,0.0,815.29,0.0,0.0
2016-03-29,2466.06,4985.54,0.0,822.02,0.0,0.0
2016-03-30,2827.53,5708.38,0.0,942.51,0.0,0.0
2016-03-31,2464.22,5025.62,0.0,821.4,0.0,0.0
2016-04-01,2686.24,5468.9,0.0,895.41,0.0,0.0
2016-04-02,2656.88,5390.74,0.0,885.62,0.0,0.0
2016-04-03,2577.99,5253.12,0.0,859.33,0.0,0.0
2016-04-04,2442.21,4932.01,0.0,814.07,0.0,0.0
2016-04-05,2513.77,5055.26,0.0,837.92,0.0,0.0
2016-04-06,2354.13,4765.76,0.0,784.71,0.0,0.0
2016-04-07,3069.73,6222.78,0.0,1023.24,0.0,0.0
2016-04-08,2471.56,5058.77,0.0,823.85,0.0,0.0
2016-04-09,2344.96,4739.42,0.0,781.65,0.0,0.0
2016-04-10,2618.35,5344.21,0.0,872.78,0.0,0.0
2016-04-11,2523.81,5106.69,0.0,841.24,0.0,0.0
2016-04-12,2730.5,5496.23,0.0,910.16,0.0,0.0
2016-04-13,2487.06,5127.57,0.0,829.02,0.0,0.0
2016-04-14,2824.97,5672.45,0.0,941.65,0.0,0.0
2016-04-15,2425.29,4877.31,0.0,808.43,0.0,0.0
2016-04-16,2548.83,5223.71,0.0,849.61,0.0,0.0
2016-04-17,2468.89,4954.38,0.0,822.96,0.0,0.0
2016-04-18,2383.51,4878.6,0.0,794.5,0.0,0.0
2016-04-19,2888.55,5873.78,0.0,962.85,0.0,0.0
2016-04-20,2510.68,5046.72,0.0,836.89,0.0,0.0
2016-04-21,2388.96,4962.36,0.0,796.32,0.0,0.0
2016-04-22,2774.1,5570.06,0.0,924.7,0.0,0.0
2016-04-23,2770.47,5720.11,0.0,923.49,0.0,0.0
2016-04-24,2568.81,5165.3,0.0,856.27,0.0,0.0
2016-04-25,2457.99,4941.63,0.0,819.33,0.0,0.0
2016-04-26,2683.26,5439.55,0.0,894.42,0.0,0.0
2016-04-27,2617.86,5250.49,0.0,872.62,0.0,0.0
2016-04-28,2408.94,4851.07,0.0,802.98,0.0,0.0
2016-04-29,2810.43,5646.64,0.0,936.81,0.0,0.0
2016-04-30,2514.31,5058.48,0.0,838.1,0.0,0.0
2016-05-01,2563.36,5148.77,0.0,854.45,0.0,0.0
2016-05-02,2440.4,4916.35,0.0,813.43,0.0,0.0
2016-05-03,2367.1,4800.69,0.0,789.03,0.0,0.0
2016-05-04,2698.07,5413.51,0.0,899.35,0.0,0.0
2016-05-05,2448.05,4947.23,0.0,816.01,0.0,0.0
2016-05-06,2318.54,4653.08,0.0,772.84,0.0,0.0
2016-05-07,2928.3,6017.32,0.0,976.1,0.0,0.0
2016-05-08,2482.22,4986.79,0.0,827.4,0.0,0.0
2016-05-09,2361.71,4747.36,0.0,787.23,0.0,0.0
2016-05-10,2185.43,4530.02,0.0,728.47,0.0,0.0
2016-05-11,2318.54,4648.84,0.0,772.84,0.0,0.0
2016-05-12,2888.73,5820.69,0.0,962.91,0.0,0.0
2016-05-13,2248.39,4523.14,0.0,749.46,0.0,0.0
2016-05-14,2739.44,5603.48,0.0,913.14,0.0,0.0
2016-05-15,2642.31,5302.06,0.0,880.77,0.0,0.0
2016-05-16,2316.74,4672.54,0.0,772.24,0.0,0.0
2016-05-17,2606.33,5403.22,0.0,868.77,9373.71,4521.56
2016-05-18,2593.74,5206.44,0.0,864.58,8289.03,4129.42
2016-05-19,2543.38,5133.25,0.0,847.79,8054.32,3990.69
2016-05-20,2334.73,4685.68,0.0,778.24,6972.23,3474.05
2016-05-21,2624.32,5318.37,0.0,874.77,8142.48,4017.86
2016-05-22,2563.16,5137.07,0.0,854.38,7531.12,3757.68
2016-05-23,2367.1,4919.28,0.0,789.03,7530.6,3623.64
2016-05-24,2515.79,5041.4,0.0,838.56,7278.14,3631.98
2016-05-25,2354.35,4787.43,0.0,784.78,6688.69,3289.35
2016-05-26,2489.7,4991.83,0.0,829.9,6699.65,3341.49
2016-05-27,2626.83,5281.56,0.0,875.61,7052.23,3507.49
2016-05-28,2416.68,4857.19,0.0,805.56,7685.31,3823.8
2016-05-29,2140.64,4312.27,0.0,713.54,6369.82,3162.02
2016-05-30,2375.72,4913.45,0.0,791.9,7279.81,3519.89
2016-05-31,2913.56,5841.78,0.0,971.18,8847.28,4412.54
2016-06-01,2284.9,4736.73,0.0,761.63,8478.37,4089.79
2016-06-02,2213.66,4434.9,0.0,737.88,7858.1,3922.34
2016-06-03,2958.08,5961.28,0.0,986.02,10366.95,5144.24
2016-06-04,2560.94,5150.88,0.0,853.64,9021.83,4485.52
2016-06-05,2053.38,4122.82,0.0,684.46,6877.98,3425.6
2016-06-06,2625.05,5280.22,0.0,875.01,8820.05,4384.87
2016-06-07,2619.71,5255.37,0.0,873.23,8852.6,4412.87
2016-06-08,2439.84,4911.27,0.0,813.28,8179.1,4063.24
2016-06-09,2259.96,4536.39,0.0,753.32,7587.84,3780.15
2016-06-10,2685.6,5676.79,0.0,895.2,9385.87,4440.31
2016-06-11,2500.39,5007.28,0.0,833.46,8450.11,4219.57
2016-06-12,2541.35,5113.99,0.0,847.11,8191.84,4070.86
