date,received,sent,net,balance
2016-01-01 00:00:00+00:00,0.0,0.0,0.0,
2016-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-19 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-20 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-22 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-23 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-24 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-25 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-26 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-27 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-28 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-29 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-30 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-01-31 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-01 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-02 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-03 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-04 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-05 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-06 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-07 00:00:00+00:00,0.0,0.0,0.0,0.0
2016-02-08 00:00:00+00:00,1029.46,0.0,1029.46,0.0
2016-02-09 00:00:00+00:00,1119.93,0.0,1119.93,1029.46
2016-02-10 00:00:00+00:00,502.25,0.0,502.25,2149.3900000000003
2016-02-11 00:00:00+00:00,910.91,0.0,910.91,2651.6400000000003
2016-02-12 00:00:00+00:00,1157.36,0.0,1157.36,3562.55
2016-02-13 00:00:00+00:00,892.2,0.0,892.2,4719.91
2016-02-14 00:00:00+00:00,742.46,0.0,742.46,5612.11
2016-02-15 00:00:00+00:00,779.89,0.0,779.89,6354.57
2016-02-16 00:00:00+00:00,1232.23,0.0,1232.23,7134.46
2016-02-17 00:00:00+00:00,879.72,0.0,879.72,8366.69
2016-02-18 00:00:00+00:00,842.28,0.0,842.28,9246.41
2016-02-19 00:00:00+00:00,848.52,0.0,848.52,10088.69
2016-02-20 00:00:00+00:00,929.63,0.0,929.63,10937.210000000001
2016-02-21 00:00:00+00:00,965.82,0.0,965.82,11866.84
2016-02-22 00:00:00+00:00,671.95,0.0,671.95,12832.66
2016-02-23 00:00:00+00:00,821.07,0.0,821.07,13504.61
2016-02-24 00:00:00+00:00,1026.96,0.0,1026.96,14325.68
2016-02-25 00:00:00+00:00,846.65,0.0,846.65,15352.64
2016-02-26 00:00:00+00:00,776.77,0.0,776.77,16199.289999999999
