date,first_block,last_block,block_count,networkhashps
2016-02-08,0,331,332,2360714984491
2016-02-09,332,690,359,2677550583381
2016-02-10,691,851,161,1809788586734
2016-02-11,852,1143,292,2168564467243
2016-02-12,1144,1514,371,2629813298323
2016-02-13,1515,1800,286,3074971026089
2016-02-14,1801,2038,238,2655651735890
2016-02-15,2039,2288,250,2192358494634
2016-02-16,2289,2684,395,3155298458033
2016-02-17,2682,2965,282,3516630977739
2016-02-18,2966,3235,270,3709177632760
2016-02-19,3236,3507,272,3415180672609
2016-02-20,3508,3805,298,3277293541469
2016-02-21,3806,4116,311,3820333871331
2016-02-22,4117,4353,236,3048533336505
2016-02-23,4352,4643,291,3086129611820
2016-02-24,4644,4992,349,4233362656105
2016-02-25,4993,5275,283,4258888610489
2016-02-26,5276,5536,261,3972853698306
2016-02-27,5537,5797,261,3492921527786
2016-02-28,5798,6116,319,4039444216672
2016-02-29,6117,6399,283,3704118472066
2016-03-01,6400,6695,296,3918552759508
2016-03-02,6696,6956,261,3523632639839
2016-03-03,6957,7278,322,4239907304172
2016-03-04,7279,7538,260,3460266832390
2016-03-05,7539,7836,298,3800875276174
2016-03-06,7837,8122,286,3636680483776
2016-03-07,8123,8410,288,3801026527536
2016-03-08,8411,8699,289,3872119876038
2016-03-09,8700,8971,272,3489763723554
2016-03-10,8972,9314,343,4417512417233
2016-03-11,9315,9571,257,4011696081779
2016-03-12,9572,9852,281,4155781177971
2016-03-13,9853,10124,272,3811560989275
2016-03-14,10125,10425,301,3804906857734
2016-03-15,10426,10747,322,4340352958374
2016-03-16,10748,10990,243,3523346061637
2016-03-17,10991,11292,302,3944559701028
2016-03-18,11293,11616,324,4324435740818
2016-03-19,11617,11887,271,4313065228012
2016-03-20,11888,12170,283,4693385295411
2016-03-21,12171,12437,267,4033548969411
2016-03-22,12438,12734,297,4008514295102
2016-03-23,12735,13042,308,4476015485292
2016-03-24,13043,13298,256,4027748248422
2016-03-25,13299,13598,300,4330512286480
2016-03-26,13599,13900,302,4300135966050
2016-03-27,13901,14207,307,4893719908326
2016-03-28,14208,14477,270,4554493079716
2016-03-29,14478,14753,276,4530916682240
2016-03-30,14754,15070,317,5128879893701
2016-03-31,15071,15346,276,4858973059285
2016-04-01,15347,15646,300,4991197484545
2016-04-02,15647,15942,296,5171281490510
2016-04-03,15943,16229,287,5311554781222
2016-04-04,16230,16513,284,5171944736824
2016-04-05,16514,16792,279,5156682724502
2016-04-06,16793,17055,263,4624678869512
2016-04-07,17056,17397,342,5452485061665
2016-04-08,17398,17670,273,5157158100753
2016-04-09,17671,17932,262,4940431334089
2016-04-10,17933,18222,290,4908286035096
2016-04-11,18223,18505,283,4709623815647
2016-04-12,18506,18810,305,4926453520474
2016-04-13,18811,19090,280,4830409269170
2016-04-14,19091,19405,315,5361143195727
2016-04-15,19406,19677,272,5247028994475
2016-04-16,19678,19962,285,5657348033199
2016-04-17,19963,20238,276,5083383204663
2016-04-18,20239,20511,273,4533892561925
2016-04-19,20512,20840,329,5480139766004
2016-04-20,20841,21124,284,5395741068255
2016-04-21,21125,21397,273,5392872124135
2016-04-22,21398,21711,314,5895572986406
2016-04-23,21712,22021,310,6385145612984
2016-04-24,22022,22310,289,6899139634591
2016-04-25,22311,22585,275,6647691829143
2016-04-26,22586,22887,302,7185575133504
2016-04-27,22888,23183,296,7781812743853
2016-04-28,23184,23452,269,7129856586585
2016-04-29,23453,23767,315,7628194913953
2016-04-30,23768,24051,284,7767003344947
2016-05-01,24052,24338,287,8190718923718
2016-05-02,24339,24632,294,8644157924622
2016-05-03,24633,24900,268,8190165211664
2016-05-04,24901,25208,308,8884858851287
2016-05-05,25209,25488,280,8368655276065
2016-05-06,25489,25752,264,7492789042784
2016-05-07,25753,26089,337,9194895233203
2016-05-08,26090,26374,285,8802335666060
2016-05-09,26375,26643,269,8172070999442
2016-05-10,26644,26908,265,7576452751871
2016-05-11,26909,27182,274,6968236548657
2016-05-12,27183,27521,339,8465965822129
2016-05-13,27522,27781,260,7585118336208
2016-05-14,27782,28092,311,8885027422377
2016-05-15,28093,28394,302,9764938809064
2016-05-16,28395,28657,263,8505233723349
2016-05-17,28658,28954,297,9141301311715
2016-05-18,28955,29251,297,9875666848659
2016-05-19,29252,29540,289,9837075095960
2016-05-20,29541,29810,270,9357631800425
2016-05-21,29811,30112,302,9796187942301
2016-05-22,30113,30412,300,10057163144893
2016-05-23,30413,30686,274,9837014739965
2016-05-24,30687,30978,292,10152392969724
2016-05-25,30979,31252,274,9557891454994
2016-05-26,31253,31545,293,9480958663453
2016-05-27,31546,31855,310,10015634900398
2016-05-28,31856,32154,299,11617354218789
2016-05-29,32155,32407,253,10097504106243
2016-05-30,32408,32684,277,9622332134471
2016-05-31,32685,33026,342,11295985531637
2016-06-01,33027,33291,265,10843772850859
2016-06-02,33292,33549,258,10258075536250
2016-06-03,33550,33894,345,12333631546716
2016-06-04,33895,34187,293,12779087685892
2016-06-05,34188,34423,236,10947712182750
2016-06-06,34424,34723,300,11542332530048
2016-06-07,34724,35023,300,10991327577826
2016-06-08,35024,35304,281,11036553884752
2016-06-09,35305,35567,263,10046715723079
2016-06-10,35568,35879,312,10764232927459
2016-06-11,35880,36168,289,11110066230692
2016-06-12,36169,36462,294,12070288997928
2016-06-13,36463,36743,281,11472433883581
2016-06-14,36744,37032,289,11884894899788
2016-06-15,37033,37266,234,9357049392130
2016-06-16,37267,37531,265,8437990185189
2016-06-17,37532,37887,356,9792576439718
2016-06-18,37888,38180,293,11013145931736
2016-06-19,38181,38460,280,11299074783929
2016-06-20,38461,38732,272,10519046008526
2016-06-21,38733,39028,296,10663333307115
2016-06-22,39029,39305,277,9919217252159
2016-06-23,39306,39618,313,11616208317982
2016-06-24,39619,39873,255,10360861960614
2016-06-25,39874,40164,291,10722481518197
2016-06-26,40165,40472,308,10625568127851
2016-06-27,40473,40756,284,10847371475119
2016-06-28,40757,41040,284,10597409059433
2016-06-29,41041,41356,316,12064073222576
2016-06-30,41357,41610,254,10757859557754
2016-07-01,41611,41890,280,10426011447460
2016-07-02,41891,42209,319,11620451680331
2016-07-03,42210,42492,283,11526690505348
2016-07-04,42493,42786,294,12244497065946
2016-07-05,42787,43070,284,11937032911436
2016-07-06,43071,43356,286,11777439104016
2016-07-07,43357,43656,300,12910875674925
2016-07-08,43657,43920,264,12495006140462
2016-07-09,43921,44210,290,12065189785714
2016-07-10,44211,44523,313,12716609119697
2016-07-11,44524,44800,277,12655853978465
2016-07-12,44801,45078,278,12091095727179
2016-07-13,45079,45311,233,8956784667167
2016-07-14,45312,45640,329,10721575085410
2016-07-15,45641,45927,287,10894435744466
2016-07-16,45928,46226,299,11345692242544
2016-07-17,46227,46513,287,11437671256589
2016-07-18,46514,46788,275,11376326190308
2016-07-19,46789,47077,289,11472324860968
2016-07-20,47078,47377,300,11697964901741
2016-07-21,47378,47649,272,10963375068799
2016-07-22,47650,47933,284,10674408643129
2016-07-23,47934,48243,310,11280189924916
2016-07-24,48244,48533,290,11813413891016
2016-07-25,48534,48776,243,10295837374469
2016-07-26,48777,49036,260,8649730458613
2016-07-27,49037,49341,305,8795800305423
2016-07-28,49342,49653,312,9882967888017
2016-07-29,49654,49930,277,9160223781652
2016-07-30,49931,50248,318,10777994681787
2016-07-31,50249,50521,273,10817386069207
2016-08-01,50522,50797,276,10586348200326
2016-08-02,50798,51088,291,10244345878835
2016-08-03,51089,51377,289,10233395251773
2016-08-04,51378,51662,285,10030265540412
2016-08-05,51663,51944,282,8987205876084
2016-08-06,51945,52244,300,9766683527942
2016-08-07,52245,52523,279,9891511503637
2016-08-08,52524,52811,288,10034006570073
2016-08-09,52812,53108,297,10217446583613
2016-08-10,53109,53410,302,10786630418803
2016-08-11,53411,53673,263,10113163572583
2016-08-12,53674,53958,285,10032599585281
2016-08-13,53959,54279,321,11660067099714
2016-08-14,54280,54588,309,12763770005625
2016-08-15,54589,54836,248,11473546113496
2016-08-16,54837,55172,336,14049577918907
2016-08-17,55173,55430,258,12145434960012
2016-08-18,55431,55738,308,13843290357691
2016-08-19,55739,56030,292,14193261713617
2016-08-20,56031,56288,258,12388436013798
2016-08-21,56289,56611,323,14716693572563
2016-08-22,56612,56862,251,12896015555616
2016-08-23,56863,57123,261,11143137943739
2016-08-24,57124,57457,334,12585156990685
2016-08-25,57458,57752,295,13883242615282
2016-08-26,57753,57994,242,11843775597730
2016-08-27,57995,58339,345,15218680306105
2016-08-28,58340,58615,276,14535767340549
2016-08-29,58616,58867,252,12803838230716
2016-08-30,58868,59149,282,11899472970685
2016-08-31,59150,59470,321,13528814072614
2016-09-01,59471,59761,291,14175084082729
2016-09-02,59762,60016,255,12530040266791
2016-09-03,60017,60318,302,13414826481382
2016-09-04,60319,60649,331,15633158097266
2016-09-05,60650,60904,255,14236177171782
2016-09-06,60905,61152,248,12583767512801
2016-09-07,61153,61478,326,14079693767262
2016-09-08,61479,61741,263,11946353061368
2016-09-09,61742,62056,315,13699621020112
2016-09-10,62057,62319,263,12636177917945
2016-09-11,62320,62654,335,15522489239212
2016-09-12,62655,62902,248,13402377594632
2016-09-13,62903,63201,299,14442458941326
2016-09-14,63202,63468,267,12716299877250
2016-09-15,63469,63749,281,12419156589362
2016-09-16,63750,64035,286,12220769315998
2016-09-17,64036,64353,318,13637185000555
2016-09-18,64354,64643,290,14227569288343
2016-09-19,64644,64925,282,14772156034617
2016-09-20,64926,65176,251,11803746527080
2016-09-21,65177,65486,310,13465196290229
2016-09-22,65487,65789,303,13720402918182
2016-09-23,65790,66075,286,14137808371408
2016-09-24,66076,66349,274,13675557325905
2016-09-25,66350,66640,291,13232439391909
2016-09-26,66641,66932,292,12925909474882
2016-09-27,66933,67215,283,13070280529399
2016-09-28,67216,67499,284,12671342407506
2016-09-29,67500,67801,302,13435239623754
2016-09-30,67802,68098,297,13807573852635
2016-10-01,68099,68373,275,13654624967954
2016-10-02,68374,68658,285,13481226884647
