date,SRV,poolval,CapRealUSD
2016-02-08,0.0,0.0,0.0
2016-02-09,0.0,1745.24,0.0
2016-02-10,0.0,10296.26,0.0
2016-02-11,0.0,19330.0,0.0
2016-02-12,0.0,32461.09,0.0
2016-02-13,0.0,40578.99,0.0
2016-02-14,0.0,41941.78,0.0
2016-02-15,0.0,44249.88,0.0
2016-02-16,0.0,46991.83,0.0
2016-02-17,0.0,49186.58,0.0
2016-02-18,0.0,51143.52,0.0
2016-02-19,0.0,52461.31,0.0
2016-02-20,0.0,53644.84,0.0
2016-02-21,0.0,59781.56,0.0
2016-02-22,0.0,64052.1,0.0
2016-02-23,0.0,66967.37,0.0
2016-02-24,0.0,73215.35,0.0
2016-02-25,0.0,80326.52,0.0
2016-02-26,0.0,84544.5,0.0
2016-02-27,0.0,89327.78,0.0
2016-02-28,0.0,94094.16,0.0
2016-02-29,0.0,97223.4,0.0
2016-03-01,0.0,102725.6,0.0
2016-03-02,0.0,107836.86,0.0
2016-03-03,0.0,115582.55,0.0
2016-03-04,0.0,120676.94,0.0
2016-03-05,0.0,125756.17,0.0
2016-03-06,0.0,132085.43,0.0
2016-03-07,0.0,136650.34,0.0
2016-03-08,0.0,147407.46,0.0
2016-03-09,0.0,166181.53,0.0
2016-03-10,0.0,192945.89,0.0
2016-03-11,0.0,200254.33,0.0
2016-03-12,0.0,209916.63,0.0
2016-03-13,0.0,214840.47,0.0
2016-03-14,0.0,218455.44,0.0
2016-03-15,0.0,226758.37,0.0
2016-03-16,0.0,233169.01,0.0
2016-03-17,0.0,235419.14,0.0
2016-03-18,0.0,244081.98,0.0
2016-03-19,0.0,248442.81,0.0
2016-03-20,0.0,259302.39,0.0
2016-03-21,0.0,268476.31,0.0
2016-03-22,0.0,276060.33,0.0
2016-03-23,0.0,287280.31,0.0
2016-03-24,0.0,292341.57,0.0
2016-03-25,0.0,305669.38,0.0
2016-03-26,0.0,306706.11,0.0
2016-03-27,0.0,323797.8,0.0
2016-03-28,0.0,330820.52,0.0
2016-03-29,0.0,336281.18,0.0
2016-03-30,0.0,347583.42,0.0
2016-03-31,0.0,349897.82,0.0
2016-04-01,0.0,361702.23,0.0
2016-04-02,0.0,360586.61,0.0
2016-04-03,0.0,369532.26,0.0
2016-04-04,0.0,368236.0,0.0
2016-04-05,0.0,379598.89,0.0
2016-04-06,0.0,384509.2,0.0
2016-04-07,0.0,388002.81,0.0
2016-04-08,0.0,395235.28,0.0
2016-04-09,0.0,391662.55,0.0
2016-04-10,0.0,397236.92,0.0
2016-04-11,0.0,395339.0,0.0
2016-04-12,0.0,412532.9,0.0
2016-04-13,0.0,408950.62,0.0
2016-04-14,0.0,413767.91,0.0
2016-04-15,0.0,423277.32,0.0
2016-04-16,0.0,424311.23,0.0
2016-04-17,0.0,444177.19,0.0
2016-04-18,0.0,447044.18,0.0
2016-04-19,0.0,449011.87,0.0
2016-04-20,0.0,469404.68,0.0
2016-04-21,0.0,459024.14,0.0
2016-04-22,0.0,460984.88,0.0
2016-04-23,0.0,465411.74,0.0
2016-04-24,0.0,461920.84,0.0
2016-04-25,0.0,472653.55,0.0
2016-04-26,0.0,470059.38,0.0
2016-04-27,0.0,482584.17,0.0
2016-04-28,0.0,494950.72,0.0
2016-04-29,0.0,487085.0,0.0
