date,newsply,totsply
2016-02-08,1687206.24,1687206.24
2016-02-09,7839.51,1695045.75
2016-02-10,3515.77,1698561.52
2016-02-11,6376.43,1704937.94
2016-02-12,8101.56,1713039.5
2016-02-13,6245.4,1719284.9
2016-02-14,5197.22,1724482.13
2016-02-15,5459.27,1729941.4
2016-02-16,8625.65,1738567.04
2016-02-17,6158.06,1744725.1
2016-02-18,5896.01,1750621.11
2016-02-19,5939.69,1756560.8
2016-02-20,6507.45,1763068.25
2016-02-21,6944.19,1770012.44
2016-02-22,6719.58,1776732.02
2016-02-23,8210.74,1784942.76
2016-02-24,10269.67,1795212.43
2016-02-25,8466.55,1803678.97
2016-02-26,7767.76,1811446.74
2016-02-27,7886.3,1819333.04
2016-02-28,9520.97,1828854.01
2016-02-29,8366.2,1837220.2
2016-03-01,8790.43,1846010.63
2016-03-02,7771.16,1853781.79
2016-03-03,9618.2,1863399.99
2016-03-04,7839.11,1871239.1
2016-03-05,8963.39,1880202.49
2016-03-06,8574.22,1888776.71
2016-03-07,8598.93,1897375.64
2016-03-08,8673.06,1906048.7
2016-03-09,8086.21,1914134.9
2016-03-10,10062.97,1924197.87
2016-03-11,7684.67,1931882.55
2016-03-12,8401.25,1940283.8
2016-03-13,8067.67,1948351.47
2016-03-14,8920.15,1957271.63
2016-03-15,9692.33,1966963.95
2016-03-16,7332.56,1974296.52
2016-03-17,9179.6,1983476.12
2016-03-18,9747.92,1993224.04
2016-03-19,8178.87,2001402.91
2016-03-20,8617.46,2010020.37
2016-03-21,8034.86,2018055.23
2016-03-22,8825.72,2026880.95
2016-03-23,9192.69,2036073.64
2016-03-24,7688.1,2043761.74
2016-03-25,9021.44,2052783.18
2016-03-26,9033.67,2061816.85
2016-03-27,9217.16,2071034.01
2016-03-28,8152.93,2079186.94
2016-03-29,8220.21,2087407.15
2016-03-30,9425.11,2096832.26
2016-03-31,8214.1,2105046.36
2016-04-01,8954.16,2114000.52
2016-04-02,8856.3,2122856.82
2016-04-03,8593.3,2131450.12
2016-04-04,8140.7,2139590.82
2016-04-05,8379.23,2147970.05
2016-04-06,7847.12,2155817.18
2016-04-07,10232.45,2166049.63
2016-04-08,8238.56,2174288.19
2016-04-09,7816.54,2182104.73
2016-04-10,8727.86,2190832.59
2016-04-11,8412.51,2199245.1
2016-04-12,9101.68,2208346.77
2016-04-13,8290.22,2216636.99
2016-04-14,9416.57,2226053.56
2016-04-15,8084.32,2234137.88
2016-04-16,8496.11,2242633.99
2016-04-17,8229.66,2250863.65
2016-04-18,7945.04,2258808.69
2016-04-19,9628.52,2268437.21
2016-04-20,8368.94,2276806.15
2016-04-21,7963.21,2284769.36
2016-04-22,9247.01,2294016.37
2016-04-23,9234.9,2303251.27
2016-04-24,8562.72,2311813.99
2016-04-25,8193.32,2320007.32
2016-04-26,8944.23,2328951.54
2016-04-27,8726.22,2337677.77
2016-04-28,8029.82,2345707.59
2016-04-29,9368.13,2355075.71
2016-04-30,8381.05,2363456.77
2016-05-01,8544.55,2372001.32
2016-05-02,8134.48,2380135.8
2016-05-03,7890.36,2388026.16
2016-05-04,8993.57,2397019.73
2016-05-05,8160.17,2405179.9
2016-05-06,7728.48,2412908.38
2016-05-07,9761.02,2422669.4
2016-05-08,8274.09,2430943.49
2016-05-09,7872.37,2438815.86
2016-05-10,7284.79,2446100.65
2016-05-11,7728.48,2453829.13
2016-05-12,9629.12,2463458.25
2016-05-13,7494.64,2470952.89
2016-05-14,9131.47,2480084.37
2016-05-15,8807.71,2488892.07
2016-05-16,7722.48,2496614.56
2016-05-17,8687.79,2505302.35
2016-05-18,8645.82,2513948.17
2016-05-19,8477.94,2522426.11
2016-05-20,7782.44,2530208.55
2016-05-21,8747.75,2538956.3
2016-05-22,8543.89,2547500.19
2016-05-23,7890.36,2555390.55
2016-05-24,8385.78,2563776.33
2016-05-25,7847.86,2571624.19
2016-05-26,8299.02,2579923.21
2016-05-27,8756.12,2588679.33
2016-05-28,8055.63,2596734.96
2016-05-29,7135.49,2603870.45
2016-05-30,7919.09,2611789.54
2016-05-31,9711.87,2621501.42
2016-06-01,7616.34,2629117.76
2016-06-02,7378.89,2636496.64
2016-06-03,9860.28,2646356.92
2016-06-04,8536.47,2654893.39
2016-06-05,6844.61,2661738.01
2016-06-06,8750.18,2670488.19
2016-06-07,8732.37,2679220.56
2016-06-08,8132.8,2687353.37
2016-06-09,7533.23,2694886.6
2016-06-10,8952.02,2703838.61
2016-06-11,8334.64,2712173.25
2016-06-12,8471.17,2720644.43
2016-06-13,8174.36,2728818.78
2016-06-14,8351.01,2737169.79
2016-06-15,6729.82,2743899.61
2016-06-16,7570.32,2751469.93
2016-06-17,10285.76,2761755.69
2016-06-18,8381.42,2770137.11
2016-06-19,8040.52,2778177.64
2016-06-20,7834.81,2786012.45
2016-06-21,8463.71,2794476.15
2016-06-22,7964.12,2802440.27
2016-06-23,9033.83,2811474.1
2016-06-24,7299.95,2818774.05
2016-06-25,8146.32,2826920.37
2016-06-26,8122.81,2835043.18
2016-06-27,8087.54,2843130.73
2016-06-28,8058.16,2851188.88
2016-06-29,9104.37,2860293.25
2016-06-30,7282.32,2867575.57
2016-07-01,7899.46,2875475.03
2016-07-02,9169.02,2884644.05
2016-07-03,8175.71,2892819.76
2016-07-04,8504.85,2901324.61
2016-07-05,8181.44,2909506.05
2016-07-06,8211.15,2917717.2
2016-07-07,8554.49,2926271.69
2016-07-08,7460.45,2933732.14
2016-07-09,8077.3,2941809.44
2016-07-10,8845.46,2950654.9
2016-07-11,7780.51,2958435.41
2016-07-12,7879.44,2966314.86
2016-07-13,6535.17,2972850.02
2016-07-14,9153.89,2982003.91
2016-07-15,8030.75,2990034.66
2016-07-16,8379.91,2998414.57
2016-07-17,7995.83,3006410.4
2016-07-18,7768.88,3014179.27
2016-07-19,8251.88,3022431.16
2016-07-20,8531.21,3030962.37
2016-07-21,7576.84,3038539.21
2016-07-22,8048.21,3046587.41
2016-07-23,8810.54,3055397.96
2016-07-24,8257.7,3063655.66
2016-07-25,6878.51,3070534.17
2016-07-26,7437.17,3077971.34
2016-07-27,7716.63,3085687.97
2016-07-28,7570.96,3093258.93
2016-07-29,6764.31,3100023.24
2016-07-30,8631.12,3108654.36
2016-07-31,7726.53,3116380.89
2016-08-01,7870.57,3124251.46
2016-08-02,8170.18,3132421.64
2016-08-03,8072.23,3140493.87
2016-08-04,7951.23,3148445.11
2016-08-05,8008.85,3156453.96
2016-08-06,8498.6,3164952.56
2016-08-07,7887.86,3172840.42
2016-08-08,8147.13,3180987.55
