date,votes,tickets,expired,missed,revoked
2016-01-01,0,0,0,0,0
2016-01-02,0,0,0,0,0
2016-01-03,0,0,0,0,0
2016-01-04,0,0,0,0,0
2016-01-05,0,0,0,0,0
2016-01-06,0,0,0,0,0
2016-01-07,0,0,0,0,0
2016-01-08,0,0,0,0,0
2016-01-09,0,0,0,0,0
2016-01-10,0,0,0,0,0
2016-01-11,0,0,0,0,0
2016-01-12,0,0,0,0,0
2016-01-13,0,0,0,0,0
2016-01-14,0,0,0,0,0
2016-01-15,0,0,0,0,0
2016-01-16,0,0,0,0,0
2016-01-17,0,0,0,0,0
2016-01-18,0,0,0,0,0
2016-01-19,0,0,0,0,0
2016-01-20,0,0,0,0,0
2016-01-21,0,0,0,0,0
2016-01-22,0,0,0,0,0
2016-01-23,0,0,0,0,0
2016-01-24,0,0,0,0,0
2016-01-25,0,0,0,0,0
2016-01-26,0,0,0,0,0
2016-01-27,0,0,0,0,0
2016-01-28,0,0,0,0,0
2016-01-29,0,0,0,0,0
2016-01-30,0,0,0,0,0
2016-01-31,0,0,0,0,0
2016-02-01,0,0,0,0,0
2016-02-02,0,0,0,0,0
2016-02-03,0,0,0,0,0
2016-02-04,0,0,0,0,0
2016-02-05,0,0,0,0,0
2016-02-06,0,0,0,0,0
2016-02-07,0,0,0,0,0
2016-02-08,0,1469,0,0,0
2016-02-09,0,7166,0,0,0
2016-02-10,0,3220,0,0,0
2016-02-11,0,5827,0,0,0
2016-02-12,0,3057,0,0,0
2016-02-13,0,662,0,0,0
2016-02-14,0,1234,0,0,0
2016-02-15,0,1314,0,0,0
2016-02-16,0,1155,0,0,0
2016-02-17,0,778,0,0,0
2016-02-18,0,674,0,0,0
2016-02-19,0,453,0,0,0
2016-02-20,0,4657,0,0,0
2016-02-21,98,2391,0,4,4
2016-02-22,1077,2734,0,48,48
2016-02-23,1316,4766,0,85,85
2016-02-24,1646,5091,0,48,48
2016-02-25,1357,2049,0,16,16
2016-02-26,1245,1479,0,23,23
2016-02-27,1264,806,0,41,41
2016-02-28,1526,1640,0,41,41
2016-02-29,1353,1948,0,37,37
2016-03-01,1423,1899,0,32,32
2016-03-02,1258,505,0,40,40
2016-03-03,1557,2350,0,28,28
2016-03-04,1269,690,0,20,20
2016-03-05,1451,1889,0,21,21
2016-03-06,1388,1611,0,23,23
2016-03-07,1392,1474,0,38,38
2016-03-08,1404,1910,0,21,21
2016-03-09,1309,881,0,43,43
2016-03-10,1629,2020,0,66,66
2016-03-11,1244,458,0,43,43
2016-03-12,1360,2063,0,26,26
2016-03-13,1306,1024,0,23,23
2016-03-14,1444,1373,0,59,59
2016-03-15,1569,2065,0,25,25
2016-03-16,1187,1078,0,55,55
2016-03-17,1486,1201,0,11,11
2016-03-18,1578,1299,0,27,27
2016-03-19,1324,2291,0,21,21
2016-03-20,1395,906,0,66,66
2016-03-21,1308,1363,0,14,14
2016-03-22,1443,1320,0,27,27
2016-03-23,1503,2221,0,18,18
2016-03-24,1257,749,0,13,13
2016-03-25,1475,1619,0,12,12
2016-03-26,1477,2036,0,26,26
2016-03-27,1507,704,0,21,21
2016-03-28,1333,2005,0,7,7
2016-03-29,1344,1054,0,15,15
2016-03-30,1541,1043,0,23,23
2016-03-31,1343,2039,0,23,23
2016-04-01,1464,885,0,24,24
2016-04-02,1448,1778,0,16,16
2016-04-03,1405,2062,0,37,37
2016-04-04,1331,1218,0,71,71
2016-04-05,1370,692,0,20,20
2016-04-06,1283,1261,0,15,15
2016-04-07,1673,1821,0,17,17
2016-04-08,1347,2173,0,13,13
2016-04-09,1278,892,0,19,19
2016-04-10,1427,2116,0,12,12
2016-04-11,1379,1550,0,22,22
2016-04-12,1503,301,0,48,48
2016-04-13,1369,3254,0,19,19
2016-04-14,1555,686,0,11,11
2016-04-15,1335,679,0,12,12
2016-04-16,1403,3012,0,15,15
2016-04-17,1359,191,0,15,15
2016-04-18,1312,1935,0,22,22
2016-04-19,1590,1885,0,22,22
2016-04-20,1382,184,0,15,15
2016-04-21,1315,3321,0,51,51
2016-04-22,1527,506,0,22,22
2016-04-23,1525,2828,0,15,15
2016-04-24,1414,776,0,20,20
2016-04-25,1353,763,0,11,11
2016-04-26,1477,3134,0,26,26
2016-04-27,1441,212,0,14,14
2016-04-28,1326,946,0,9,9
2016-04-29,1547,1256,0,11,11
2016-04-30,1384,1792,0,18,18
2016-05-01,1411,789,0,3,3
2016-05-02,1346,1436,0,95,95
2016-05-03,1316,2605,0,25,25
2016-05-04,1500,509,0,22,22
2016-05-05,1361,1956,0,51,51
2016-05-06,1289,352,0,17,17
2016-05-07,1628,3094,0,20,20
2016-05-08,1380,724,0,28,28
2016-05-09,1313,463,0,24,24
2016-05-10,1215,2821,0,43,43
2016-05-11,1289,380,0,18,18
2016-05-12,1606,1735,0,29,29
2016-05-13,1250,823,0,114,114
2016-05-14,1523,2951,0,30,30
2016-05-15,1469,672,0,17,17
2016-05-16,1288,1008,0,35,35
2016-05-17,1449,3192,0,28,28
2016-05-18,1442,284,0,19,19
2016-05-19,1414,2063,0,26,26
2016-05-20,1298,63,0,38,38
2016-05-21,1459,2976,0,27,27
2016-05-22,1425,382,0,18,18
2016-05-23,1316,3082,0,27,27
2016-05-24,1411,265,0,20,20
2016-05-25,1322,2865,0,9,9
2016-05-26,1398,187,0,55,55
2016-05-27,1475,1308,0,39,39
2016-05-28,1357,1129,0,116,116
2016-05-29,1202,800,0,33,33
2016-05-30,1334,2813,0,27,27
2016-05-31,1636,575,0,38,38
